,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
r0,2.7052,3.8774,5.3397,7.0651,8.9815,10.9701,12.8735,14.5148,15.7237,16.3654,16.3654,15.7237,14.5148,12.8735,10.9701,8.9815,7.0651,5.3397,3.8774,2.7052
r1,3.8774,5.5576,7.6536,10.1266,12.8735,15.7237,18.452,20.8045,22.5373,23.457,23.457,22.5373,20.8045,18.452,15.7237,12.8735,10.1266,7.6536,5.5576,3.8774
r2,5.3397,7.6536,10.5399,13.9457,17.7284,21.6536,25.4107,28.6505,31.0367,32.3033,32.3033,31.0367,28.6505,25.4107,21.6536,17.7284,13.9457,10.5399,7.6536,5.3397
r3,7.0651,10.1266,13.9457,18.452,23.457,28.6505,33.6216,37.9083,41.0656,42.7415,42.7415,41.0656,37.9083,33.6216,28.6505,23.457,18.452,13.9457,10.1266,7.0651
r4,8.9815,12.8735,17.7284,23.457,29.8197,36.4219,42.7415,48.1909,52.2046,54.3351,54.3351,52.2046,48.1909,42.7415,36.4219,29.8197,23.457,17.7284,12.8735,8.9815
r5,10.9701,15.7237,21.6536,28.6505,36.4219,44.4858,52.2046,58.8605,63.7628,66.365,66.365,63.7628,58.8605,52.2046,44.4858,36.4219,28.6505,21.6536,15.7237,10.9701
r6,12.8735,18.452,25.4107,33.6216,42.7415,52.2046,61.2626,69.0734,74.8264,77.8801,77.8801,74.8264,69.0734,61.2626,52.2046,42.7415,33.6216,25.4107,18.452,12.8735
r7,14.5148,20.8045,28.6505,37.9083,48.1909,58.8605,69.0734,77.8801,84.3665,87.8095,87.8095,84.3665,77.8801,69.0734,58.8605,48.1909,37.9083,28.6505,20.8045,14.5148
r8,15.7237,22.5373,31.0367,41.0656,52.2046,63.7628,74.8264,84.3665,91.3931,95.1229,95.1229,91.3931,84.3665,74.8264,63.7628,52.2046,41.0656,31.0367,22.5373,15.7237
r9,16.3654,23.457,32.3033,42.7415,54.3351,66.365,77.8801,87.8095,95.1229,99.005,99.005,95.1229,87.8095,77.8801,66.365,54.3351,42.7415,32.3033,23.457,16.3654
r10,16.3654,23.457,32.3033,42.7415,54.3351,66.365,77.8801,87.8095,95.1229,99.005,99.005,95.1229,87.8095,77.8801,66.365,54.3351,42.7415,32.3033,23.457,16.3654
r11,15.7237,22.5373,31.0367,41.0656,52.2046,63.7628,74.8264,84.3665,91.3931,95.1229,95.1229,91.3931,84.3665,74.8264,63.7628,52.2046,41.0656,31.0367,22.5373,15.7237
r12,14.5148,20.8045,28.6505,37.9083,48.1909,58.8605,69.0734,77.8801,84.3665,87.8095,87.8095,84.3665,77.8801,69.0734,58.8605,48.1909,37.9083,28.6505,20.8045,14.5148
r13,12.8735,18.452,25.4107,33.6216,42.7415,52.2046,61.2626,69.0734,74.8264,77.8801,77.8801,74.8264,69.0734,61.2626,52.2046,42.7415,33.6216,25.4107,18.452,12.8735
r14,10.9701,15.7237,21.6536,28.6505,36.4219,44.4858,52.2046,58.8605,63.7628,66.365,66.365,63.7628,58.8605,52.2046,44.4858,36.4219,28.6505,21.6536,15.7237,10.9701
r15,8.9815,12.8735,17.7284,23.457,29.8197,36.4219,42.7415,48.1909,52.2046,54.3351,54.3351,52.2046,48.1909,42.7415,36.4219,29.8197,23.457,17.7284,12.8735,8.9815
r16,7.0651,10.1266,13.9457,18.452,23.457,28.6505,33.6216,37.9083,41.0656,42.7415,42.7415,41.0656,37.9083,33.6216,28.6505,23.457,18.452,13.9457,10.1266,7.0651
r17,5.3397,7.6536,10.5399,13.9457,17.7284,21.6536,25.4107,28.6505,31.0367,32.3033,32.3033,31.0367,28.6505,25.4107,21.6536,17.7284,13.9457,10.5399,7.6536,5.3397
r18,3.8774,5.5576,7.6536,10.1266,12.8735,15.7237,18.452,20.8045,22.5373,23.457,23.457,22.5373,20.8045,18.452,15.7237,12.8735,10.1266,7.6536,5.5576,3.8774
r19,2.7052,3.8774,5.3397,7.0651,8.9815,10.9701,12.8735,14.5148,15.7237,16.3654,16.3654,15.7237,14.5148,12.8735,10.9701,8.9815,7.0651,5.3397,3.8774,2.7052
