,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
r0,10.31,90.26,50.53,82.65,32.0,89.55,38.92,1.08,90.54,9.13,31.93,95.01,95.06,57.34,63.18,44.84,29.32,32.87,67.25,75.24
r1,79.16,78.96,9.12,49.44,5.76,54.95,44.15,88.77,35.09,11.71,14.3,76.15,61.82,10.11,8.41,70.1,7.28,82.19,70.62,8.13
r2,8.48,98.66,37.43,37.06,81.28,94.72,98.6,75.34,37.63,8.35,77.71,55.84,42.42,90.64,11.12,49.26,1.14,46.87,5.63,11.88
r3,11.75,64.92,74.6,58.34,96.22,37.49,28.57,86.86,22.36,96.32,1.22,96.99,4.32,89.11,52.77,99.3,7.38,55.39,96.93,52.31
r4,62.94,69.57,45.45,62.76,58.43,90.12,4.54,28.1,95.04,89.03,45.57,62.01,27.74,18.81,46.37,35.34,58.37,7.77,97.44,98.62
r5,69.82,53.61,30.95,81.38,68.47,16.26,91.09,82.25,94.98,72.57,61.34,41.82,93.27,86.61,4.52,2.64,37.65,81.06,98.73,15.04
r6,59.41,38.09,96.99,84.21,83.83,46.87,41.48,27.34,5.64,86.47,81.29,99.97,99.66,55.54,76.9,94.48,84.96,24.73,45.05,12.92
r7,95.41,60.62,22.86,67.17,61.81,35.82,11.36,67.16,52.03,77.23,52.02,85.22,55.19,56.09,87.67,40.35,13.4,2.88,75.51,62.03
r8,70.41,21.3,13.64,1.45,35.06,58.99,39.22,43.75,90.42,34.83,51.4,78.37,39.65,62.21,86.24,94.95,14.71,92.66,49.21,25.82
r9,45.91,98.0,49.26,32.88,63.34,24.01,7.59,12.89,12.8,15.19,13.88,64.09,18.19,34.57,89.68,47.4,66.76,17.23,19.23,4.09
r10,16.89,27.86,17.7,8.87,12.06,46.08,20.63,36.43,50.34,69.04,3.93,79.94,62.79,8.18,87.36,92.09,6.11,27.69,80.62,74.83
r11,18.45,20.93,37.05,48.45,61.83,36.89,46.25,74.75,3.67,25.24,71.33,89.52,51.17,53.21,10.72,44.74,53.26,24.25,26.92,37.73
r12,2.01,32.21,21.14,32.75,11.98,89.05,59.36,67.91,78.92,49.84,8.69,53.71,58.68,74.54,43.17,12.76,28.38,36.31,64.59,57.08
r13,35.61,98.65,60.58,23.72,10.18,15.29,24.6,16.07,18.66,28.51,17.34,89.68,8.02,52.45,41.04,98.24,11.2,39.79,96.95,86.55
r14,81.71,25.79,17.09,66.86,92.94,55.68,57.16,28.0,76.95,18.7,32.37,42.54,50.76,24.24,11.48,61.06,28.86,58.12,15.44,48.11
r15,53.26,5.18,33.66,13.44,6.34,99.0,32.24,80.99,25.46,68.15,76.02,59.56,47.16,41.18,34.89,92.95,83.06,96.5,12.43,73.09
r16,93.83,18.12,6.65,74.11,57.45,84.18,13.98,79.53,20.16,16.37,16.43,81.46,66.52,52.31,35.88,87.72,39.24,81.66,43.91,37.69
r17,46.27,30.14,74.76,50.27,23.22,89.96,38.39,54.36,90.65,62.42,11.69,93.98,62.77,33.49,13.93,79.4,62.01,53.35,89.39,78.86
r18,15.17,31.17,24.85,74.39,3.35,56.99,76.25,87.68,34.21,82.13,11.06,84.65,12.75,39.73,79.73,14.99,22.93,72.23,72.0,64.11
r19,69.39,54.27,25.18,34.57,18.16,90.85,58.34,40.09,46.2,94.73,15.34,58.62,50.59,61.15,1.81,87.21,93.21,56.51,69.67,92.25
